Condition,Replicate,Condition_replicate,Sample,RRmean_absolute,RRmean_relative_NS_Condition,RRmean_relative_NS_rep,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-5,281.796,1.23778441756169,1.28611135198784,58907,2325232.055,19281.778,9.171646,236.266,157.069,0.079,8366.701,91.85,1.096
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-6,277.245,1.21779422293748,1.26534067829873,43980,1736019.586,14504.705,6.948809,242.254,150.786,0.104,5952.519,121.711,1.167
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-7,259.628,1.14041183254094,1.18493703989375,35912,1417551.964,14108.092,6.652264,199.498,138.22,0.089,5977.176,73.889,1.113
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-8,267.857,1.17655758326883,1.22249403259595,45134,1781571.351,16313.686,7.544414,220.211,157.069,0.084,4228.668,90.766,1.784
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-9,266.91,1.17239790093327,1.21817194338839,34619,1366513.462,10242.098,4.722203,268.737,163.351,0.164,4591.881,57.006,1.028
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-1,270.522,1.18826355309381,1.14357578268332,47329,1868214.438,19332.731,9.303584,192.241,119.372,0.063,8616.599,97.415,1.08
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-10,262.93,1.15491581466556,1.11148217350502,47638,1880411.575,17516.942,8.484313,219.262,131.938,0.077,7907.895,88.133,1.073
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-11,272.013,1.19481274671822,1.14987867668817,37984,1499339.881,14008.018,6.721374,209.473,131.938,0.096,6465.938,88.998,1.04
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-12,270.898,1.18991512707287,1.14516524488709,38952,1537549.68,13881.15,6.622106,222.714,144.503,0.1,6496.8,105.595,1.019
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-13,249.836,1.09740062934159,1.05612999771726,33472,1321238.008,12722.937,6.257707,209.409,125.655,0.103,6134.756,96.586,1.02
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-14,263.593,1.15782803154885,1.1142848688271,39471,1558036.132,15166.454,7.523053,205.746,119.372,0.085,7294.599,89.457,1.031
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-15,255.176,1.12085649383143,1.07870374284531,43877,1731953.874,15662.585,7.548184,221.991,131.938,0.089,7038.431,88.721,1.072
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-16,260.117,1.14255975721052,1.09959079802839,53312,2104380.996,19921.873,9.615208,214.019,131.938,0.067,8867.514,87.442,1.084
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-17,260.257,1.14317470496868,1.10018261906171,27294,1077374.229,11045.518,5.422101,197.021,125.655,0.111,5323.124,88.58,1.019
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-18,239.759,1.05313756820598,1.01353156519754,28083,1108518.373,11344.143,5.610584,197.682,113.089,0.108,5525.77,84.192,1.015
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-19,259.814,1.1412288345625,1.09830992822056,28543,1126675.922,11012.465,5.375609,205.757,119.372,0.117,5271.091,77.471,1.02
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-2,252.845,1.11061761365806,1.06884992264054,47995,1894503.412,19104.241,9.259605,195.56,125.655,0.065,8841.747,96.938,1.047
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-20,263.09,1.15561861210346,1.11215854040024,43787,1728401.31,16703.979,8.069652,211.85,125.655,0.078,7963.076,71.794,1.013
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-21,266.781,1.17183127049896,1.1277614792144,19166,756538.231,9122.865,4.189426,162.822,106.807,0.114,3956.965,99.597,1.059
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-3,249.101,1.09417215361125,1.05302293729233,37485,1479642.887,15671.026,7.58588,184.648,125.655,0.076,6746.763,70.3,1.124
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-4,261.398,1.14818652919769,1.10500596048326,32568,1285554.477,13067.853,6.43865,198.25,131.938,0.095,6313.475,79.797,1.02
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-5,254.7,1.11876567145369,1.07669155133202,42430,1674836.54,15530.406,7.551953,221.187,125.655,0.087,7088.121,83.996,1.065
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-6,279.821,1.22910926168764,1.18288538117502,36500,1440762.049,13939.85,6.633416,208.238,138.22,0.093,6000.114,87.359,1.106
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-7,247.554,1.08737698088357,1.04648331487415,37327,1473406.164,14330.717,6.957605,205.483,125.655,0.09,6824.283,93.642,1.02
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-8,257.342,1.13037061414697,1.08786005968938,41774,1648942.296,15704.207,7.496666,214.742,131.938,0.084,7250.417,78.047,1.034
qua-2,rep_2,qua-2-rep_2,qua-2-Stained-rep_2-9,258.16,1.13396366604823,1.0913179854412,38266,1510471.248,14429.243,6.923678,212.684,131.938,0.091,6676.115,82.701,1.037
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-1,273.877,1.20300033686973,1.22322218152909,41026,1627914.936,14835.58,7.302137,220.665,132.283,0.093,7077.627,86.121,1.032
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-10,246.73,1.0837575740784,1.10197500647616,34217,1357733.275,13741.656,6.39505,191.925,138.583,0.09,5701.487,83.338,1.122
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-11,260.254,1.14316152751672,1.16237751118813,35282,1399992.56,14933.849,7.100562,192.351,113.386,0.079,6879.02,70.752,1.032
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-12,279.712,1.22863048093307,1.2492831557227,32155,1275912.952,13220.422,6.179617,191.274,132.283,0.092,5871.272,93.814,1.053
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-13,266.854,1.17215192183,1.19185521978758,31160,1236431.273,11535.71,5.385916,216.944,138.583,0.117,4934.198,96.671,1.092
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-14,240.169,1.0549384866406,1.07267148433662,44080,1749097.898,16238.11,7.83505,222.822,125.984,0.083,7446.567,81.781,1.052
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-15,262.502,1.15303583151918,1.17241779738988,42694,1694101.308,15518.259,7.322294,216.889,151.181,0.088,6688.106,85.192,1.095
qua-2,rep_3,qua-2-rep_3,qua-2-Stained-rep_3-16,251.226,1.10350618208333,1.12205557887967,32206,1277936.636,11350.856,5.452688,228.153,144.882,0.125,5147.027,85.015,1.059
